Tacgia,Link,Namsinh,Quote
Albert Einstein,/author/Albert-Einstein,"March 14, 1879",The world as we have created it is a process of our thinking It cannot be changed without changing our thinking
J.K. Rowling,/author/J-K-Rowling,"July 31, 1965",It is our choices Harry that show what we truly are far more than our abilities
Albert Einstein,/author/Albert-Einstein,"March 14, 1879",There are only two ways to live your life One is as though nothing is a miracle The other is as though everything is a miracle
Jane Austen,/author/Jane-Austen,"December 16, 1775",The person be it gentleman or lady who has not pleasure in a good novel must be intolerably stupid
Marilyn Monroe,/author/Marilyn-Monroe,"June 01, 1926",Imperfection is beauty madness is genius and its better to be absolutely ridiculous than absolutely boring
Albert Einstein,/author/Albert-Einstein,"March 14, 1879",Try not to become a man of success Rather become a man of value
André Gide,/author/Andre-Gide,"November 22, 1869",It is better to be hated for what you are than to be loved for what you are not
Thomas A. Edison,/author/Thomas-A-Edison,"February 11, 1847",I have not failed Ive just found 10000 ways that wont work
Eleanor Roosevelt,/author/Eleanor-Roosevelt,"October 11, 1884",A woman is like a tea bag you never know how strong it is until its in hot water
Steve Martin,/author/Steve-Martin,"August 14, 1945",A day without sunshine is like you know night
Marilyn Monroe,/author/Marilyn-Monroe,"June 01, 1926",This life is what you make it No matter what youre going to mess up sometimes its a universal truth But the good part is you get to decide how youre going to mess it up Girls will be your friends  theyll act like it anyway But just remember some come some go The ones that stay with you through everything  theyre your true best friends Dont let go of them Also remember sisters make the best friends in the world As for lovers well theyll come and go too And baby I hate to say it most of them  actually pretty much all of them are going to break your heart but you cant give up because if you give up youll never find your soulmate Youll never find that half who makes you whole and that goes for everything Just because you fail once doesnt mean youre gonna fail at everything Keep trying hold on and always always always believe in yourself because if you dont then who will sweetie So keep your head high keep your chin up and most importantly keep smiling because lifes a beautiful thing and theres so much to smile about
J.K. Rowling,/author/J-K-Rowling,"July 31, 1965",It takes a great deal of bravery to stand up to our enemies but just as much to stand up to our friends
Albert Einstein,/author/Albert-Einstein,"March 14, 1879",If you cant explain it to a six year old you dont understand it yourself
Bob Marley,/author/Bob-Marley,"February 06, 1945",You may not be her first her last or her only She loved before she may love again But if she loves you now what else matters Shes not perfectyou arent either and the two of you may never be perfect together but if she can make you laugh cause you to think twice and admit to being human and making mistakes hold onto her and give her the most you can She may not be thinking about you every second of the day but she will give you a part of her that she knows you can breakher heart So dont hurt her dont change her dont analyze and dont expect more than she can give Smile when she makes you happy let her know when she makes you mad and miss her when shes not there
Dr. Seuss,/author/Dr-Seuss,"March 02, 1904",I like nonsense it wakes up the brain cells Fantasy is a necessary ingredient in living
Douglas Adams,/author/Douglas-Adams,"March 11, 1952",I may not have gone where I intended to go but I think I have ended up where I needed to be
Elie Wiesel,/author/Elie-Wiesel,"September 30, 1928",The opposite of love is not hate its indifference The opposite of art is not ugliness its indifference The opposite of faith is not heresy its indifference And the opposite of life is not death its indifference
Friedrich Nietzsche,/author/Friedrich-Nietzsche,"October 15, 1844",It is not a lack of love but a lack of friendship that makes unhappy marriages
Mark Twain,/author/Mark-Twain,"November 30, 1835",Good friends good books and a sleepy conscience this is the ideal life
Allen Saunders,/author/Allen-Saunders,"April 24, 1899",Life is what happens to us while we are making other plans
Pablo Neruda,/author/Pablo-Neruda,"July 12, 1904",I love you without knowing how or when or from where I love you simply without problems or pride I love you in this way because I do not know any other way of loving but this in which there is no I or you so intimate that your hand upon my chest is my hand so intimate that when I fall asleep your eyes close
Ralph Waldo Emerson,/author/Ralph-Waldo-Emerson,"May 25, 1803",For every minute you are angry you lose sixty seconds of happiness
Mother Teresa,/author/Mother-Teresa,"August 26, 1910",If you judge people you have no time to love them
Garrison Keillor,/author/Garrison-Keillor,"August 07, 1942",Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car
Jim Henson,/author/Jim-Henson,"September 24, 1936",Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye
Dr. Seuss,/author/Dr-Seuss,"March 02, 1904",Today you are You that is truer than true There is no one alive who is Youer than You
Albert Einstein,/author/Albert-Einstein,"March 14, 1879",If you want your children to be intelligent read them fairy tales If you want them to be more intelligent read them more fairy tales
J.K. Rowling,/author/J-K-Rowling,"July 31, 1965",It is impossible to live without failing at something unless you live so cautiously that you might as well not have lived at all  in which case you fail by default
